Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
"Murder in the First, Season 1",2014,Pier 45,The famous Musee Mecanique is located on Pier 45,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep102,2016,Westin St. Francis,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham ,Hugh Laurie,Gretchen Mol,Ethan Suplee
GirlBoss,2017,"Macchiarini Steps, Kearny between Vallejo and Broadway",The namesake for the steps was an Italian-American California-based modernist jeweler and sculptor who pioneered avant-garde jewelry.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
True Believer,1989,,,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",
"Looking ""Special""",2016,Van Ness and Market Street MUNI exit,"The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
GirlBoss,2017,Mission between 19th and 25th St.,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
"Budding Prospects, Pilot",2017,3033 24th Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
"Murder in the First, Season 1",2014,1541 Grove Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Looking ""Special""",2016,10th Street between Market & Mission ,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St.",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Looking Season 2 ep 203,2015,"Doc's Clock, 2575 Misison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 204,2015,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Chance- Season 1 ep103,2016,878-898 Chestnut St.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance - Season 1 ep105,2016,"State Garage, 818 Leavenworth",,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 2",2015,Stevenson Alley,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance - Season 1ep105,2016,Private alley along 20th St. between Tennessee and Minnesota,,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 3",2016,Harriet Alley,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Sense8 - Season 2,2016,Washington between Stockton and Kearny,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
Etruscan Smile,2017,California Street between Sansome & Davis,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
Sense8 - Season 2,2016,Green between Kearny and Montgomery,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
Looking Season 2 ep 205,2015,"Always Open Car Wash, 2560 Marin Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Birth of the Dragon,2016,Hyde at Union,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
"Looking ""Special""",2016,"The Stud, 399 9th Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
When We Rise,2017,440 Castro St.,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
Pushing Dead,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Chance- Season 1 ep108,2016,1000 Mason St.,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Budding Prospects, Pilot",2017,1641 York Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
"Budding Prospects, Pilot",2017,1125 Guerrero Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
Pushing Dead,2016,"Blind Cat, 3050 24th Street, San Francisco","Pushing Dead won the Audience Award for  Frameline San Francisco International LGBTQ Film Festival 
2016
","Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Chance - Season 1 Pilot,2016,"Warren's Antiques, 375 9th St.",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Chance- Season 1 ep107,2016,60 Potomac,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
Etruscan Smile,2017,343 Union Street,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
"Murder in the First, Season 2",2015,Boardman Place between Bryant and Brannan Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Looking ""Special""",2016,Castro Street between 17th & 18th,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Pushing Dead,2016,Koshland Park,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf",An interactive museum consisting of 20th century penny arcade games and artifacts. ,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
Looking Season 2 ep 210,2015,67 Deming Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 207,2015,Delores Park,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
GirlBoss,2017,1375 Haight St.,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
Birth of the Dragon,2016,Waverly Pl between Washington and Sacramento,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
Looking Season 2 ep 206,2015,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Murder in the First, Season 2",2015,Treasure Island,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep110,2016,1 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
Looking Season 2 ep 209,2015,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Birth of the Dragon,2016,California at Mason,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
When We Rise,2017,United Nations Plaza,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd.",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep110,2016,San Francisco General Hospital,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
GirlBoss,2017,Various Haight St. Vintage Shops,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut",,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 3",2016,Hall of Justice (850 Bryant Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
When We Rise,2017,24th St. between Florida and Alabama,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Murder in the First, Season 3",2016,Pier 96,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Looking Season 2 ep 207,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Murder in the First, Season 1",2014,504 Broadway,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Budding Prospects, Pilot",2017,1167 Alabama Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
Pushing Dead,2016,1069 Tennessee Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Chance- Season 1 ep102,2016,John St. between Powell and Mason,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham ,Hugh Laurie,Gretchen Mol,Ethan Suplee
Sense8 - Season 2,2016,"Marina Morrison Bridal, 30 Maiden Ln.",,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
Etruscan Smile,2017,Pier 14 San Francisco,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
"Budding Prospects, Pilot",2017,40 Prentiss Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Pushing Dead,2016,"Daniel's Pharmacy, 943 Geneva Ave",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Etruscan Smile,2017,UCSF Mt Zion 1600 Divisadero,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep109,2016,850 Bryant- 6th floor County Jail,The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep103,2016,350 Santa Ana Ave.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance - Season 1 Pilot,2016,253 4th Ave.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 2",2015,1059 Texas Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Sense8 - Season 2,2016,"Westerfeld House, 1198 Fulton St.","In the 1940's, the house became a 14-unit apartment building that housed jazz musicians including John Handy. This location serves as the hideout for the San Francisco-based character Nomi.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
"Looking ""Special""",2016,"Orphan Andy's, 3991 17th Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Budding Prospects, Pilot",2017,2937 24th Street,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
Chance- Season 1 ep108,2016,St. Mary's Square Park,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 3",2016,Golden Gate Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Looking Season 2 ep 204,2015,"Bi-Rite Creamery, 3692 18th Stret",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Murder in the First, Season 2",2015,435 Broadway,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Murder in the First, Season 3",2016,535 Octavia Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Murder in the First, Season 1",2014,AT&T Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
"Murder in the First, Season 3",2016,Red's Java House (Pier 30),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance - Season 1 Pilot,2016,"State Garage, 818 Leavenworth",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep109,2016,2 Rowland,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep106,2016,2 Rowland,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
Etruscan Smile,2017,"Legion of Honor, 100 34th Ave","California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to “honor the dead while serving the living,” it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California men who had lost their lives on the battlefields of France during World War I.","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep103,2016,17th and Arkansas,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
GirlBoss,2017,"Underground SF, 424 Haight St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
Birth of the Dragon,2016,Lands End Trail at Eagles Point/ Lincoln Park Golf Course,The character of Steve McKee was based on actor Steve McQueen who studied with Bruce Lee in the later 60's.,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
Chance- Season 1 ep104,2016,15th St. between Vermont and Kansas,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
Etruscan Smile,2017,3rd Street between Market & Harrison,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Looking ""Special""",2016,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 209,2015,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Sense8 - Season 2,2016,"City Lights Bookstore, 261 Columbus Ave.",Howl and Other Poems by Allen Ginsberg was published in 1956 by City Lights after poet and founder Laurence Ferlinghetti heard Ginsberg read it in 1955.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
"Murder in the First, Season 1",2014,1821 Alabama Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep102,2016,"YWCA, 940 Powell",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham ,Hugh Laurie,Gretchen Mol,Ethan Suplee
Looking Season 2 ep 203,2015,"Mission Rec Center, 2450 Harrison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 210,2015,Twin Peaks Park,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
GirlBoss,2017,"Mission Thrift, 2330 Mission St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
Etruscan Smile,2017,1227 Montgomery Street,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Looking Season 2 ep 203,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
"Murder in the First, Season 2",2015,Harriet Street between Bryant and Brannan Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Pushing Dead,2016,"433 Baker Street, ",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
"Murder in the First, Season 2",2015,Sue Bierman Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep107,2016,145 Barlett St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 1",2014,373 Columbus Avenue,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Birth of the Dragon,2016,Leavenworth at Green,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
Etruscan Smile,2017,San Francisco Airport,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
GirlBoss,2017,Fillmore and Waller,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue",Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Sense8 - Season 2,2016,"The Castro Theater, 429 Castro St.",The theater has an organ which is played before every film showing.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Looking Season 2 ep 202,2015,Eddy @ Polk Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Pushing Dead,2016,"Ele Nino Traiing Cetner, 2920 3rd Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
"Murder in the First, Season 3",2016,Civic Center Plaza,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
When We Rise,2017,520 Castro St.,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
Looking Season 2 ep 203,2015,"Willy's Barber shop, 3227 22nd Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Chance- Season 1 ep103,2016,"The Drew School, 2901 California",,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Murder in the First, Season 3",2016,Howard Street at Steuart Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep109,2016,60 Leavenworth St.,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
"Budding Prospects, Pilot",2017,Bernal Heights Boulevard,,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Chance- Season 1 ep106,2016,McAllister between Leavenworth and Hyde,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
Pushing Dead,2016,2930 3rd Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Etruscan Smile,2017,Turk Street between Mason & Leavenworth,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
Chance - Season 1 Pilot,2016,1055 Montgomery St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Pushing Dead,2016,Octavia at Grove Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
